Name,Rating,Number of Reviews,Latitude,Longitude,Category,Sub-Category
Sanjeev Footwears - Best Shoes Store In Chandigarh,3.8,(524),30.736873,76.749384,Shop,Shoe Store
Bata Shoe Store,4.1,(80),30.737057,76.749344,Shop,Shoe Store
Shoe bespoke,4.0,(26),30.733876,76.753437,Shop,Shoe Store
URBANTOES,4.7,(85),30.736013,76.735467,Shop,Shoe Store
Fine shoes,5.0,(3),30.733501,76.737141,Shop,Shoe Store
Apollo Pharmacy Mohali,4.1,(61),30.686759,76.738943,Shop,Pharmacy
Fortis Pharmacy,3.0,(25),30.695127,76.731696,Shop,Pharmacy
Metro Pharmacy,4.5,(31),30.694349,76.733357,Shop,Pharmacy
Super Homoeo Pharmacy,3.8,(8),30.68775,76.737596,Shop,Pharmacy
City Medicos,4.6,(119),30.694139,76.733394,Shop,Pharmacy
Singla Store,4.2,"(1,118)",30.695747,76.768529,Shop,Convenience Store
Ambarsariya Grocery Shop,4.3,(27),30.690235,76.744159,Shop,Convenience Store
Mamta enterprises,N/A,N/A,30.679491,76.765428,Shop,Convenience Store
Common Service Center (CSC),4.6,(18),30.687064,76.764481,Shop,Convenience Store
GoMechanic - Car Mechanic Chandigarh,3.7,(38),30.687016,76.758758,Shop,Convenience Store
Sagar Sanitary & Hardware Store.,4.6,(23),30.686107,76.739084,Shop,Hardware Store
Jain Paint & Hardware Store,4.8,(12),30.683814,76.760742,Shop,Hardware Store
Garg Enterprises,4.6,(29),30.686783,76.738647,Shop,Hardware Store
Sudarshan Lal Arun Kumar,4.1,(13),30.694546,76.770483,Shop,Hardware Store
Bhagwati sales (Hardware &Sanitary),5.0,(97),30.696172,76.764492,Shop,Hardware Store
Relaxo Footwear,4.7,(17),30.68153,76.744277,Shop,Shoe Store
Punjab Shoes,4.0,(11),30.686697,76.738596,Shop,Shoe Store
Fancy Shoe Palace,5.0,(1),30.683139,76.742842,Shop,Shoe Store
Sindhi Footwears,3.6,(12),30.694748,76.76972,Shop,Shoe Store
New Classic Foot Wear,3.5,(4),30.686701,76.738864,Shop,Shoe Store
Singla Medical Store,4.5,(75),30.697542,76.767051,Shop,Pharmacy
Life Line - Chemists and Druggists,N/A,N/A,30.697894,76.762628,Shop,Pharmacy
VIVA - Your Family Chemist,N/A,N/A,30.691936,76.760187,Shop,Pharmacy
BABHRAH MEDICARES,4.4,(11),30.697925,76.766577,Shop,Pharmacy
Prem Medicos,N/A,N/A,30.701509,76.765062,Shop,Pharmacy
Singla Store,4.2,"(1,118)",30.695747,76.768529,Shop,Convenience Store
Ambarsariya Grocery Shop,4.3,(27),30.690235,76.744159,Shop,Convenience Store
Singla Store Best Pharmacy/medical/chemists store in chandigarh sector 45,4.8,(4),30.704855,76.759784,Shop,Convenience Store
Common Service Center (CSC),4.6,(18),30.687064,76.764481,Shop,Convenience Store
GoMechanic - Car Mechanic Chandigarh,3.7,(38),30.687016,76.758758,Shop,Convenience Store
Bhagwati sales (Hardware &Sanitary),5.0,(97),30.696172,76.764492,Shop,Hardware Store
Premchand Dinesh Kumar,5.0,(1),30.699868,76.750966,Shop,Hardware Store
KK Electrical | Ozone Hardware Dealer,N/A,N/A,30.699892,76.750994,Shop,Hardware Store
Sudarshan Lal Arun Kumar,4.1,(13),30.694546,76.770483,Shop,Hardware Store
Onkar Furniture Industry | Ozone Hardware Dealer,N/A,N/A,30.699806,76.750891,Shop,Hardware Store
Bata Shoe Store,3.4,(37),N/A,N/A,Shop,Shoe Store
Relaxo Footwear,3.4,(10),30.700387,76.765081,Shop,Shoe Store
Sindhi Footwears,3.6,(12),30.694748,76.76972,Shop,Shoe Store
Shri Ram Footwear-Whole sell Shoe Shop,5.0,(8),30.70388,76.75764,Shop,Shoe Store
Singla shoes sector 45,4.3,(15),30.705652,76.758915,Shop,Shoe Store
Dayal Pharmacy,5.0,(40),30.710862,76.753501,Shop,Pharmacy
Singla Store Best Pharmacy/medical/chemists store in chandigarh sector 45,4.8,(4),30.704855,76.759784,Shop,Pharmacy
Zeelab pharmacy,5.0,(2),30.705152,76.761757,Shop,Pharmacy
